pincode,street_name,house_number,results
12159 Berlin,Handjerystraße,17,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Schreinerstraße,29,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10247 Berlin,Bänschstraße,79,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10247 Berlin,Bänschstraße,87,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10779 Berlin,Bamberger Straße,22,18.02.2025 ES: Laut check24 von . Note: ()
10551 Berlin,Bredowstraße,11,18.02.2025 ES: Laut check24 von . Note: ()
10585 Berlin,Haubachstraße,7,18.02.2025 ES: Laut check24 von . Note: ()
13088 Berlin,Bizetstraße,94,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
13088 Berlin,Smetanastraße,12,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Stubenrauchstraße,12,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12161 Berlin,Stubenrauchstraße,11,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12161 Berlin,Rotdornstraße,4,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12159 Berlin,Bennigsenstraße,8,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
12049 Berlin,Allerstraße,11,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juni )
10585 Berlin,Behaimstraße,21,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12055 Berlin,Schöneweider Straße,7,"18.02.2025 ES: Laut check24 von vodafone, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12055 Berlin,Schöneweider Straße,6,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juli )
10247 Berlin,Bänschstraße,48,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12049 Berlin,Lichtenrader Straße,44,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juni )
12045 Berlin,Weserstraße,38,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juli )
12161 Berlin,Dickhardtstraße,24,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
13353 Berlin,Burgsdorfstraße,6,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10553 Berlin,Beusselstraße,18,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10435 Berlin,Fürstenberger Straße,14,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10435 Berlin,Wolliner Straße,66,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10559 Berlin,Perleberger Straße,11,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10779 Berlin,Barbarossastraße,23,18.02.2025 ES: Laut check24 von . Note: ()
10407 Berlin,Hufelandstraße,6,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juni )
10587 Berlin,Charlottenburger Ufer,16,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10587 Berlin,Galvanistraße,16,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
13353 Berlin,Triftstraße,1,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
13353 Berlin,Müllerstraße,157,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10115 Berlin,Anklamer Straße,31,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10559 Berlin,Wilsnacker Straße,32,18.02.2025 ES: Laut check24 von . Note: ()
12161 Berlin,Schmiljanstraße,28,18.02.2025 ES: Laut check24 von . Note: ()
12159 Berlin,Hauptstraße,65,18.02.2025 ES: Laut check24 von . Note: ()
10781 Berlin,Hohenstaufenstraße,2,18.02.2025 ES: Laut check24 von . Note: ()
10627 Berlin,Kaiser-Friedrich-Straße,68A,18.02.2025 ES: Laut check24 von . Note: ()
10627 Berlin,Kaiser-Friedrich-Straße,68,18.02.2025 ES: Laut check24 von . Note: ()
10627 Berlin,Schillerstraße,67,18.02.2025 ES: Laut check24 von . Note: ()
10627 Berlin,Schillerstraße,66,18.02.2025 ES: Laut check24 von . Note: ()
13088 Berlin,Meyerbeerstraße,19,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
13088 Berlin,Borodinstraße,10,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10555 Berlin,Alt-Moabit,49,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10555 Berlin,Alt-Moabit,48,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10555 Berlin,Alt-Moabit,47,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juli )
10777 Berlin,Fuggerstraße,14,18.02.2025 ES: Laut check24 von . Note: ()
10777 Berlin,Martin-Luther-Straße,9,18.02.2025 ES: Laut check24 von . Note: ()
10119 Berlin,Auguststraße,48,18.02.2025 ES: Laut check24 von . Note: ()
10555 Berlin,Alt-Moabit,40,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
10585 Berlin,Stallstraße,2,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
13088 Berlin,Smetanastraße,34,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
13088 Berlin,Gounodstraße,60,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
10115 Berlin,Chausseestraße,53,18.02.2025 ES: Laut check24 von . Note: ()
12043 Berlin,Karl-Marx-Straße,95,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10551 Berlin,Bredowstraße,17,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juni , verfügbar ab Juni )"
10551 Berlin,Bredowstraße,16,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10551 Berlin,Bredowstraße,16A,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10785 Berlin,Genthiner Straße,48,18.02.2025 ES: Laut check24 von . Note: ()
12051 Berlin,Warthestraße,68,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10557 Berlin,Calvinstraße,33,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10713 Berlin,Detmolder Straße,21,18.02.2025 ES: Laut check24 von . Note: ()
10551 Berlin,Emdener Straße,7,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
13353 Berlin,Genter Straße,6,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Wilmersdorfer Straße,155,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10777 Berlin,Martin-Luther-Straße,14,18.02.2025 ES: Laut check24 von . Note: ()
10777 Berlin,Martin-Luther-Straße,18,18.02.2025 ES: Laut check24 von . Note: ()
10777 Berlin,Martin-Luther-Straße,16,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,106,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,104,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,102,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,100,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,98,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,96,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,94,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,92,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,39,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,37,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,35,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,33,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,31,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,29,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,27,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,25,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Helsingforser Straße,23,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,81,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,83,18.02.2025 ES: Laut check24 von . Note: ()
10243 Berlin,Marchlewskistraße,87,18.02.2025 ES: Laut check24 von . Note: ()
10247 Berlin,Rigaer Straße,92A,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Rigaer Straße,92,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Rigaer Straße,91,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Zellestraße,15,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Dolziger Straße,48,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Proskauer Straße,18,18.02.2025 ES: Laut check24 von . Note: ()
10245 Berlin,Seumestraße,30,18.02.2025 ES: Laut check24 von . Note: ()
10245 Berlin,Wühlischstraße,42,18.02.2025 ES: Laut check24 von . Note: ()
10559 Berlin,Birkenstraße,7,18.02.2025 ES: Laut check24 von . Note: ()
10247 Berlin,Voigtstraße,13,18.02.2025 ES: Laut check24 von . Note: ()
12163 Berlin,Markelstraße,58,18.02.2025 ES: Laut check24 von . Note: ()
12053 Berlin,Erlanger Straße,8,18.02.2025 ES: Laut check24 von . Note: ()
10585 Berlin,Otto-Suhr-Allee,65A,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10559 Berlin,Quitzowstraße,116,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
13587 Berlin,Chamissostraße,1,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juni , verfügbar ab Juni )"
13587 Berlin,Streitstraße,25,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juni , verfügbar ab Juni )"
14057 Berlin,Holtzendorffstraße,18,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
14057 Berlin,Leonhardtstraße,14,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10247 Berlin,Voigtstraße,12,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10247 Berlin,Bänschstraße,75,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
14057 Berlin,Steifensandstraße,9,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Sponholzstraße,14A,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12159 Berlin,Sponholzstraße,14,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12161 Berlin,Schwalbacher Straße,14,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab April , verfügbar ab April , verfügbar ab April )"
12045 Berlin,Weichselplatz,6,"18.02.2025 ES: Laut check24 von vodafone, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12045 Berlin,Weichselplatz,5,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab Juli )
10717 Berlin,Güntzelstraße,30,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juni , verfügbar ab Juni )"
10711 Berlin,Joachim-Friedrich-Straße,25,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10551 Berlin,Quitzowstraße,106,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
12053 Berlin,Jonasstraße,37,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
12047 Berlin,Pflügerstraße,80,18.02.2025 ES: Laut check24 von . Note: ()
12047 Berlin,Pflügerstraße,79,18.02.2025 ES: Laut check24 von . Note: ()
12047 Berlin,Pflügerstraße,79A,18.02.2025 ES: Laut check24 von . Note: ()
12163 Berlin,Markelstraße,41A,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab September )
12163 Berlin,Markelstraße,41,18.02.2025 ES: Laut check24 von telekom. Note: (verfügbar ab September )
10823 Berlin,Eisenacher Straße,66,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10625 Berlin,Schlüterstraße,4,18.02.2025 ES: Laut check24 von . Note: ()
10713 Berlin,Gieselerstraße,25,18.02.2025 ES: Laut check24 von . Note: ()
14057 Berlin,Kuno-Fischer-Straße,2,18.02.2025 ES: Laut check24 von . Note: ()
10627 Berlin,Kantstraße,52,18.02.2025 ES: Laut check24 von . Note: ()
10627 Berlin,Krumme Straße,45,18.02.2025 ES: Laut check24 von . Note: ()
10719 Berlin,Kurfürstendamm,217,18.02.2025 ES: Laut check24 von . Note: ()
10719 Berlin,Fasanenstraße,74,18.02.2025 ES: Laut check24 von . Note: ()
10825 Berlin,Freiherr-vom-Stein-Straße,8,18.02.2025 ES: Laut check24 von . Note: ()
10825 Berlin,Freiherr-vom-Stein-Straße,9,18.02.2025 ES: Laut check24 von . Note: ()
10785 Berlin,Kurfürstenstraße,34,18.02.2025 ES: Laut check24 von . Note: ()
14057 Berlin,Dernburgstraße,4,18.02.2025 ES: Laut check24 von . Note: ()
14057 Berlin,Dernburgstraße,2,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
14197 Berlin,Homburger Straße,49,18.02.2025 ES: Laut check24 von . Note: ()
14197 Berlin,Homburger Straße,49A,18.02.2025 ES: Laut check24 von . Note: ()
14197 Berlin,Homburger Straße,51,18.02.2025 ES: Laut check24 von . Note: ()
14197 Berlin,Homburger Straße,53,18.02.2025 ES: Laut check24 von . Note: ()
14197 Berlin,Schlangenbader Straße,84,18.02.2025 ES: Laut check24 von . Note: ()
14197 Berlin,Binger Straße,16,18.02.2025 ES: Laut check24 von . Note: ()
10781 Berlin,Luitpoldstraße,7,18.02.2025 ES: Laut check24 von . Note: ()
10781 Berlin,Eisenacher Straße,105,18.02.2025 ES: Laut check24 von . Note: ()
10587 Berlin,Cauerstraße,34,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10587 Berlin,Wintersteinstraße,13,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10587 Berlin,Wintersteinstraße,11,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10587 Berlin,Galvanistraße,15,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab März , verfügbar ab März , verfügbar ab März )"
10585 Berlin,Haubachstraße,4,"18.02.2025 ES: Laut check24 von 1und1, telekom. Note: (verfügbar ab Juli , verfügbar ab Juli )"
10585 Berlin,Wilmersdorfer Straße,161,"18.02.2025 ES: Laut check24 von vodafone, 1und1, telekom. Note: (verfügbar ab Mai , verfügbar ab Mai , verfügbar ab Mai )"
10711 Berlin,Storkwinkel,12,18.02.2025 ES: Laut check24 von . Note: ()
10715 Berlin,Detmolder Straße,9,18.02.2025 ES: Laut check24 von . Note: ()
10715 Berlin,Berliner Straße,143,18.02.2025 ES: Laut check24 von . Note: ()
10779 Berlin,Prager Straße,2A,18.02.2025 ES: Laut check24 von . Note: ()
10779 Berlin,Prager Straße,2,18.02.2025 ES: Laut check24 von . Note: ()
 
